cust_id,onu_serial,customer_name,street,estate,lat,lon,olt_id,board,pon_port,fat_id,fat_port,activation_date,status
C10050,ZTEG57F439F,Tunde O.,Opebi Road,Omole Phase 1,6.60385,3.36083,OLT-IKJ-01,1,2,FAT-0161,5,2025-01-21,Active
C10051,ZTEG32C91B8,Musa E.,Opebi Road,Omole Phase 1,6.60375,3.36082,OLT-IKJ-01,1,2,FAT-0161,6,2025-05-08,Active
C10052,ZTEGD77D357,Efe A.,Opebi Road,Omole Phase 1,6.60439,3.36029,OLT-IKJ-01,1,2,FAT-0161,7,2025-02-21,Active
C10053,ZTEG990F6C2,Yemi O.,Opebi Road,Omole Phase 1,6.60437,3.36075,OLT-IKJ-01,1,2,FAT-0161,8,2025-04-27,Active
C10054,ZTEG89A2ED1,Ife B.,Opebi Road,Omole Phase 1,6.60437,3.3614,OLT-IKJ-01,1,2,FAT-0162,1,2025-09-23,Active
C10055,ZTEG1942C3F,Funmi B.,Opebi Road,Omole Phase 1,6.60402,3.36108,OLT-IKJ-01,1,2,FAT-0162,2,2025-12-17,Active
C10056,ZTEG901B43B,Uche B.,Opebi Road,Omole Phase 1,6.60411,3.36143,OLT-IKJ-01,1,2,FAT-0162,3,2025-04-03,Active
C10057,ZTEG79155CC,Musa B.,Opebi Road,Omole Phase 1,6.60416,3.36096,OLT-IKJ-01,1,2,FAT-0162,4,2025-01-13,Active
C10058,ZTEG9CCDA80,Tunde I.,Opebi Road,Omole Phase 1,6.60444,3.36156,OLT-IKJ-01,1,2,FAT-0162,5,2025-08-11,Active
C10059,ZTEGB6BD134,Gbenga A.,Opebi Road,Omole Phase 1,6.60438,3.36145,OLT-IKJ-01,1,2,FAT-0162,6,2025-11-23,Active
C10060,ZTEG2F9CA6C,Gbenga B.,Opebi Road,Omole Phase 1,6.60452,3.36158,OLT-IKJ-01,1,2,FAT-0162,7,2025-05-18,Active
C10061,ZTEGDA71067,Kemi O.,Opebi Road,Omole Phase 1,6.60453,3.36148,OLT-IKJ-01,1,2,FAT-0162,8,2025-06-17,Active
C10062,ZTEG2530959,Bola E.,Opebi Road,Omole Phase 1,6.60427,3.36174,OLT-IKJ-01,1,2,FAT-0163,1,2025-05-16,Active
C10063,ZTEGFB75441,Ade B.,Opebi Road,Omole Phase 1,6.60465,3.36145,OLT-IKJ-01,1,2,FAT-0163,2,2025-01-06,Active
C10064,ZTEG987AAE6,Kemi B.,Opebi Road,Omole Phase 1,6.60438,3.3622,OLT-IKJ-01,1,2,FAT-0163,3,2025-12-17,Active
C10065,ZTEGE708B23,Zainab E.,Opebi Road,Omole Phase 1,6.60476,3.36179,OLT-IKJ-01,1,2,FAT-0163,4,2025-12-03,Active
C10066,ZTEGD201BF9,Hauwa E.,Opebi Road,Omole Phase 1,6.60442,3.36163,OLT-IKJ-01,1,2,FAT-0163,5,2025-12-18,Active
C10067,ZTEGB38D0F3,Funmi I.,Opebi Road,Omole Phase 1,6.60441,3.36213,OLT-IKJ-01,1,2,FAT-0163,6,2025-05-10,Active
C10068,ZTEGBBDA3A9,Musa I.,Opebi Road,Omole Phase 1,6.60417,3.36208,OLT-IKJ-01,1,2,FAT-0163,7,2025-09-17,Active
C10069,ZTEG55E0DD4,Tunde E.,Opebi Road,Omole Phase 1,6.60436,3.36243,OLT-IKJ-01,1,2,FAT-0164,1,2025-09-01,Active
C10070,ZTEGAAF034B,Musa A.,Awolowo Way,(none),6.60303,3.35964,OLT-IKJ-01,1,2,FAT-0170,1,2025-07-18,Active
C10071,ZTEGDD12D45,Tunde A.,Awolowo Way,(none),6.60299,3.36015,OLT-IKJ-01,1,2,FAT-0170,2,2025-02-18,Active
C10072,ZTEG857CC12,Ngozi E.,Allen Avenue,Ikeja GRA,6.60192,3.35228,OLT-IKJ-01,1,3,FAT-0180,1,2025-03-11,Active
C10073,ZTEG7F057E9,Pelumi I.,Allen Avenue,Ikeja GRA,6.60195,3.35205,OLT-IKJ-01,1,3,FAT-0180,2,2025-10-01,Active
C10074,ZTEGFCDE8A0,Ife B.,Allen Avenue,Ikeja GRA,6.60226,3.35268,OLT-IKJ-01,1,3,FAT-0180,3,2025-01-07,Active
C10075,ZTEG37D0C0A,Hauwa A.,Allen Avenue,Ikeja GRA,6.60225,3.35216,OLT-IKJ-01,1,3,FAT-0180,4,2025-06-08,Active
C10076,ZTEGAEA901A,Pelumi A.,Allen Avenue,Ikeja GRA,6.6021,3.35237,OLT-IKJ-01,1,3,FAT-0180,5,2025-09-20,Active
C10077,ZTEG5024489,Gbenga I.,Allen Avenue,Ikeja GRA,6.6024,3.35192,OLT-IKJ-01,1,3,FAT-0180,6,2025-11-14,Active
C10078,ZTEGE33EFAE,Rotimi I.,Allen Avenue,Ikeja GRA,6.60183,3.35206,OLT-IKJ-01,1,3,FAT-0180,7,2025-11-18,Active
C10079,ZTEGB372959,Gbenga I.,Allen Avenue,Ikeja GRA,6.60187,3.35233,OLT-IKJ-01,1,3,FAT-0180,8,2025-10-28,Active
C10080,ZTEG32EF6A8,Hauwa O.,Allen Avenue,Ikeja GRA,6.60192,3.35195,OLT-IKJ-01,1,3,FAT-0181,1,2025-06-07,Active
C10081,ZTEG47D84E3,Gbenga A.,Allen Avenue,Ikeja GRA,6.60131,3.35189,OLT-IKJ-01,1,3,FAT-0181,2,2025-12-03,Active
C10082,ZTEG526E6DD,Musa A.,Allen Avenue,Ikeja GRA,6.60155,3.35245,OLT-IKJ-01,1,3,FAT-0181,3,2025-09-26,Active
C10083,ZTEGC47053D,Efe B.,Allen Avenue,Ikeja GRA,6.60152,3.35225,OLT-IKJ-01,1,3,FAT-0181,4,2025-01-04,Active
C10084,ZTEG43706A3,Tunde O.,Allen Avenue,Ikeja GRA,6.60193,3.35247,OLT-IKJ-01,1,3,FAT-0181,5,2025-02-23,Active
C10085,ZTEG91744E1,Yemi O.,Allen Avenue,Ikeja GRA,6.6016,3.35225,OLT-IKJ-01,1,3,FAT-0181,6,2025-04-26,Active
C10086,ZTEG220FB44,Pelumi A.,Allen Avenue,Ikeja GRA,6.60122,3.35231,OLT-IKJ-01,1,3,FAT-0181,7,2025-10-17,Active
C10087,ZTEGF7B4B57,Tunde E.,Allen Avenue,Ikeja GRA,6.60082,3.35165,OLT-IKJ-01,1,3,FAT-0182,1,2025-04-06,Active
C10088,ZTEGE71848A,Funmi O.,Allen Avenue,Ikeja GRA,6.60144,3.35158,OLT-IKJ-01,1,3,FAT-0182,2,2025-01-05,Active
C10089,ZTEGBE53C37,Ola A.,Allen Avenue,Ikeja GRA,6.60131,3.35176,OLT-IKJ-01,1,3,FAT-0182,3,2025-08-14,Active
C10090,ZTEG93E9DB7,Lola E.,Allen Avenue,Ikeja GRA,6.60087,3.3518,OLT-IKJ-01,1,3,FAT-0182,4,2025-11-23,Active
C10091,ZTEG1A76F50,Gbenga B.,Allen Avenue,Ikeja GRA,6.60103,3.35179,OLT-IKJ-01,1,3,FAT-0182,5,2025-06-13,Active
C10092,ZTEGFBFF2EC,Gbenga I.,Allen Avenue,Ikeja GRA,6.60083,3.35191,OLT-IKJ-01,1,3,FAT-0182,6,2025-01-11,Active
C10093,ZTEGF4A7C5B,Chidi E.,Allen Avenue,Ikeja GRA,6.60116,3.35165,OLT-IKJ-01,1,3,FAT-0182,7,2025-10-11,Active
C10094,ZTEGDE08C67,Ife O.,Allen Avenue,Ikeja GRA,6.60143,3.3521,OLT-IKJ-01,1,3,FAT-0182,8,2025-03-27,Active
C10095,ZTEGFF0D3B8,Musa B.,Allen Avenue,Ikeja GRA,6.60142,3.3522,OLT-IKJ-01,1,3,FAT-0182,8,2025-12-12,Active
